"Input","Output"
5.25707449773286,6.45145475814553
5.1527674597546,7.02698633538106
4.94345808521662,7.13687632037085
5.79229300349461,7
6.52640818960146,7
4.229560657458,7.51414899546573
3.56377458022752,7.15129022086949
4.58618092640143,6.71299185530596
6.00559645012312,8.63543664015738
5.9157361710814,9.58199360239833
4.96341979109421,4.28610021980311
6.23453400479772,4.30710309038937
3.64671718664353,7.50680543475248
4.30061745872243,9.34090981466367
4.19760447281628,8.29539619943383
4.65985927980132,6.00178163362425
5.8146156223451,9.49847355692513
5.74022305088871,3.5584536996693
4.26142803612706,6.01356194051476
7.6659733298145,6.56760310262835
6.90450269152,6.42274658333829
6.65501578555554,9.39280967956786
4.05026659114258,7.65292655662717
5.29995842248827,5.08904537996501
5.42474807613677,12.5299599510731
4.21446741974075,9.64186832309439
4.59240779825527,7.96826094030396
3.32495754592606,4.45733806238153
4.96705003483902,7.36030035776947
5.03255564861159,8.62100101563216
4.48100974810332,4.31691536512191
6.22397845136318,7.20595226324435
4.88582086981007,3.70598714371931
4.70283460933903,8.22034166202442
5.12731662457034,7.39592196570181
5.01341016176194,5.70419754438557
5.78682032367213,9.93956409643195
3.43333255746366,6.05916111535509
5.05402745402635,6.06497843511352
6.12629667758386,7.79682841454085
3.08867665137725,6.75440652899032
6.80809243639406,8.68167228625768
5.8514223145959,3.29741948018375
5.02435781397418,7.87399562243166
4.17226597902303,9.86075826527782
6.80923794302144,1.97182140489503
5.38393103326716,11.8263670581823
5.23504569218338,8.17890209793824
3.71822163477504,5.51054231507841
6.33710470957203,5.87931806828079
4.91759029342966,10.6678011592619
6.85763705702569,7.30504629892778
5.20992261106321,6.16259502407454
5.9101967648741,5.0342681158601
4.15835332550053,9.77698000748431
3.49739572828288,6.97612398262387
5.80579953637664,9.58228145372432
4.4071764021599,7.27758488142891
5.72006185108671,7.32213859004771
4.77225291693251,5.80125445498643
4.82441429864144,3.38398380617788
6.13870459275519,10.6751250956934
5.34603638602612,4.88213568151539
5.387610559715,8.8969519300197
4.77012394523357,6.22126501920805
5.12456931482643,6.46802001797959
4.83710465431882,9.70960513622214
4.84003360694773,6.80356181691655
5.00808509680465,7.36744437771873
5.04356090392248,6.35707383918626
2.20641339224811,7.22351505576541
5.356596587053,6.80386742266489
2.95821793850099,6.57442247822122
4.75295283570818,7.326982094525
6.25850249645193,6.96159434347144
4.06767642284073,1.48064413619782
3.61799834637926,9.30024253425786
3.18986223766867,3.6677077228502
4.68643658079895,6.84468016199479
3.47379279764048,11.0276393482154
3.5695243275906,3.36938159499452
6.22817761023141,5.2013658424421
4.74342979897651,4.18248900949034
4.15887258721337,7.92234551457089
5.59833096656845,4.34425597428827
5.16216969404581,4.98828740875191
4.2166087979473,10.8562153829395
5.60239852730315,5.77444543976034
3.49017095308541,5.05907653340985
6.03236074930004,9.11352945444118
4.89421121794786,6.90474872133642
4.90376907210375,5.19292353961652
5.75156356197346,8.73733126562374
4.70503299327082,3.81958838261713
3.08221648002644,9.61730292374926
4.94490790337964,6.93480408372802
4.68004304778818,5.92801749573291
6.88353689988378,9.34911322510605
3.40327305899101,5.35932371074726
4.5326937467324,3.58075613514713
4.21404025912541,7.94340098405137
6.88282314507815,7.08450002769376
6.28131874091888,10.423590502697
3.6086239026616,3.20717617747764
4.84371904603143,5.99609009056667
5.70694299151942,7.04128374533708
3.94307417637616,10.3205045556261
4.33558844751319,9.41782477511468
2.91308940564547,2.05804821008782
5.29290890205518,8.22456843391909
6.5440928802642,8.39105115980571
5.59419088764602,4.60527517960203
4.7217993062371,5.96447653450537
4.64177185604413,3.8357266900989
4.83899714473633,8.56185509966617
4.09244234435123,10.8011390583343
3.85372407124334,6.45723628724467
4.3030653041606,6.23672616611313
5.65882291214549,6.14060937531804
5.59177322453806,7.22983920027266
4.32751589548088,5.12659298838536
5.90696921819878,5.42741838034056
6.03786823476401,6.44396609981109
5.23460252711599,8.98255899160803
5.30833034239112,7.81386992460672
4.70986195931166,5.06865074609805
4.84305097545046,9.21311515536954
5.58645428204711,8.75020084704646
3.36088955098039,6.3813372367998
6.00070920702749,7.51589883464719
5.01720921021025,6.1276531716039
3.62135252816184,6.84717709901655
2.61217074464982,8.37032829288211
6.34322341635443,3.33752996934184
4.42129905640513,9.82312056392421
6.47632730881279,7.08791953552431
5.25195727280658,3.3890112724925
5.90672879758083,3.72071763129928
5.52608713935169,11.0249614497898
6.17290197932629,5.87611577361301
6.12470886924827,9.19848232205675
5.57865624896171,7.68441675165645
3.98080927288731,7.33681961959285
5.30786010079496,8.48788156236465
5.33712324595632,7.95620281004788
3.91553474131906,9.23648775830317
6.19956545545838,6.55450957706812
4.16078958148552,4.99690003768323
5.52095822971998,7.73608444516129
5.81560426551702,8.20859161826871
4.53680726886261,3.9550313533435
5.41917225826827,10.480941972796
6.59292096453323,4.60396324713739
5.31690733843294,8.15988307884887
3.59229587478005,8.89562863248651
5.87232224026298,4.95594931347704
5.81139803312521,8.35790892220389
2.84854416447408,9.88924123448152
4.32700909195334,6.58000484719928
6.01405888323415,3.56315843860704
3.9480238367891,9.83288773367403
4.70958557996502,8.35497141975013
4.33130377705423,1.72665143406287
5.8929049577814,7.07212277463028
3.06097955916692,10.0185933071381
4.75759447178201,4.03362463753917
4.21459905000093,6.92904818010048
5.08991302287963,6.27053552056181
4.76216691396878,8.93301681219556
5.13978898485339,3.0034076047154
6.29945356261188,7.0591184527335
7.10630213136175,6.69071416226354
5.15807914978844,6.83577818852374
5.24205253693879,7.37394505999744
3.73580219401425,6.67065841737391
5.66161933653508,10.192435845003
5.01799244269212,9.84627796145027
5.31909322225135,6.1058752116889
6.13956653918467,6.6724423492255
4.38713556288841,4.84923972575615
5.02362301294195,8.58600705692845
3.74236375963057,7.44015682116516
5.10343967848126,6.77475796103463
5.47477610858726,9.76402597763928
5.81702138958504,4.44734230504898
4.81359185437413,7.56485451338539
6.25469048527751,4.54675847118405
6.0454080806055,7.89293792929228
4.56673456444587,8.34475054451751
5.22150997769958,7.95026670935833
5.00432887019251,6.30417084397682
5.1781729131436,9.22601903807967
4.33920764398787,8.71381793252548
6.0898613187335,4.80407047525485
4.21898485460374,7.93017167515674
3.72567604565361,6.83264272640251
5.594158227269,7.31735253319805
5.44116887699217,5.5992430784069
5.93108501777196,9.49699748821446
7.04422730904218,5.05886692217911
